title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
joy,2015,7772.0,6543.0,7.0,10.0,0.542926999650716,0.45707300034928394,0.4117647058823529,0.5882352941176471,654.3,1110.2857142857142,f,False,True,False,False,0,1,0,0,Acting
julius caesar,1953,648.0,12574.0,2.0,13.0,0.0490092270458327,0.9509907729541673,0.13333333333333333,0.8666666666666667,967.2307692307693,324.0,m,True,False,False,False,1,0,0,0,Acting
juno,2007,17534.0,5138.0,9.0,4.0,0.7733768525052929,0.22662314749470713,0.6923076923076923,0.3076923076923077,1284.5,1948.2222222222222,f,False,True,False,False,0,1,0,0,Acting
kiss of the spider woman,1985,0.0,7419.0,0.0,7.0,0.0,1.0,0.0,1.0,1059.857142857143,0.0,m,True,False,True,False,1,0,1,0,Acting
klute,1971,4059.0,4930.0,3.0,4.0,0.45155189676270996,0.54844810323729,0.42857142857142855,0.5714285714285714,1232.5,1353.0,f,False,True,False,True,0,1,0,1,Acting
kramer vs kramer,1979,1878.0,8947.0,2.0,8.0,0.17348729792147807,0.8265127020785219,0.2,0.8,1118.375,939.0,m,True,True,True,True,2,2,1,1,Acting
la confidential,1997,1120.0,8367.0,2.0,12.0,0.11805628755138611,0.8819437124486139,0.14285714285714285,0.8571428571428571,697.25,560.0,m,False,True,False,True,0,1,0,1,Acting
leaving las vegas,1995,7272.0,9062.0,2.0,6.0,0.4452063181094649,0.5547936818905351,0.25,0.75,1510.3333333333333,3636.0,f,True,True,True,False,1,1,1,0,Acting
les misrables,2012,3079.0,10977.0,6.0,15.0,0.21905236198064884,0.7809476380193512,0.2857142857142857,0.7142857142857143,731.8,513.1666666666666,m,True,True,False,True,1,1,0,1,Acting
lincoln,2012,1716.0,12134.0,4.0,21.0,0.12389891696750903,0.876101083032491,0.16,0.84,577.8095238095239,429.0,m,True,True,True,False,2,1,1,0,Acting
little children,2006,2891.0,2962.0,8.0,6.0,0.49393473432427815,0.5060652656757219,0.5714285714285714,0.42857142857142855,493.6666666666667,361.375,m,True,True,False,False,1,1,0,0,Acting
little miss sunshine,2006,2852.0,5594.0,3.0,7.0,0.33767463888231114,0.6623253611176888,0.3,0.7,799.1428571428571,950.6666666666666,f,True,True,True,False,1,1,1,0,Acting
lost horizon,1937,2770.0,23422.0,3.0,7.0,0.1057574832009774,0.8942425167990226,0.3,0.7,3346.0,923.3333333333334,m,True,False,False,False,1,0,0,0,Acting
lost in translation,2003,2220.0,1865.0,3.0,2.0,0.543451652386781,0.4565483476132191,0.6,0.4,932.5,740.0,m,True,False,False,False,1,0,0,0,Acting
